info string nn.bin not found — using HCE
info string loaded 6525 experience entries
info string datagen: 3000 games, depth 4, random_plies 10, output training_data_large.bin
info string datagen: 10/3000 games, 572 positions, 0.0 games/sec
info string datagen: 20/3000 games, 1142 positions, 20.0 games/sec
info string datagen: 30/3000 games, 2105 positions, 15.0 games/sec
info string datagen: 40/3000 games, 2863 positions, 13.3 games/sec
info string datagen: 50/3000 games, 3793 positions, 12.5 games/sec
info string datagen: 60/3000 games, 4883 positions, 10.0 games/sec
info string datagen: 70/3000 games, 5943 positions, 10.0 games/sec
info string datagen: 80/3000 games, 6700 positions, 10.0 games/sec
info string datagen: 90/3000 games, 7307 positions, 10.0 games/sec
info string datagen: 100/3000 games, 8123 positions, 10.0 games/sec
info string datagen: 110/3000 games, 8873 positions, 10.0 games/sec
info string datagen: 120/3000 games, 9842 positions, 10.0 games/sec
info string datagen: 130/3000 games, 11315 positions, 9.3 games/sec
info string datagen: 140/3000 games, 12253 positions, 9.3 games/sec
info string datagen: 150/3000 games, 13119 positions, 9.4 games/sec
info string datagen: 160/3000 games, 13993 positions, 9.4 games/sec
info string datagen: 170/3000 games, 14997 positions, 8.9 games/sec
info string datagen: 180/3000 games, 15457 positions, 9.5 games/sec
info string datagen: 190/3000 games, 16385 positions, 9.0 games/sec
info string datagen: 200/3000 games, 17254 positions, 9.1 games/sec
info string datagen: 210/3000 games, 18267 positions, 9.1 games/sec
info string datagen: 220/3000 games, 19116 positions, 9.2 games/sec
info string datagen: 230/3000 games, 19879 positions, 9.2 games/sec
info string datagen: 240/3000 games, 20704 positions, 8.9 games/sec
info string datagen: 250/3000 games, 21455 positions, 8.9 games/sec
info string datagen: 260/3000 games, 22200 positions, 9.0 games/sec
info string datagen: 270/3000 games, 23189 positions, 9.0 games/sec
info string datagen: 280/3000 games, 24060 positions, 9.0 games/sec
info string datagen: 290/3000 games, 24878 positions, 9.1 games/sec
info string datagen: 300/3000 games, 25868 positions, 9.1 games/sec
info string datagen: 310/3000 games, 26702 positions, 9.1 games/sec
info string datagen: 320/3000 games, 27517 positions, 9.1 games/sec
info string datagen: 330/3000 games, 28249 positions, 9.2 games/sec
info string datagen: 340/3000 games, 29071 positions, 9.2 games/sec
info string datagen: 350/3000 games, 29746 positions, 9.2 games/sec
info string datagen: 360/3000 games, 30467 positions, 9.2 games/sec
info string datagen: 370/3000 games, 31622 positions, 9.0 games/sec
info string datagen: 380/3000 games, 32508 positions, 9.0 games/sec
info string datagen: 390/3000 games, 33424 positions, 9.1 games/sec
info string datagen: 400/3000 games, 34135 positions, 9.1 games/sec
info string datagen: 410/3000 games, 34749 positions, 9.1 games/sec
info string datagen: 420/3000 games, 35513 positions, 9.1 games/sec
info string datagen: 430/3000 games, 36471 positions, 9.1 games/sec
info string datagen: 440/3000 games, 36953 positions, 9.2 games/sec
info string datagen: 450/3000 games, 37691 positions, 9.2 games/sec
info string datagen: 460/3000 games, 38673 positions, 9.2 games/sec
info string datagen: 470/3000 games, 39587 positions, 9.2 games/sec
info string datagen: 480/3000 games, 40293 positions, 9.2 games/sec
info string datagen: 490/3000 games, 41244 positions, 9.2 games/sec
info string datagen: 500/3000 games, 42212 positions, 9.3 games/sec
info string datagen: 510/3000 games, 43069 positions, 9.1 games/sec
info string datagen: 520/3000 games, 43763 positions, 9.1 games/sec
info string datagen: 530/3000 games, 44525 positions, 9.1 games/sec
info string datagen: 540/3000 games, 45304 positions, 9.2 games/sec
info string datagen: 550/3000 games, 46335 positions, 9.0 games/sec
info string datagen: 560/3000 games, 47061 positions, 9.0 games/sec
info string datagen: 570/3000 games, 48110 positions, 9.0 games/sec
info string datagen: 580/3000 games, 48823 positions, 9.1 games/sec
info string datagen: 590/3000 games, 49364 positions, 9.1 games/sec
info string datagen: 600/3000 games, 50523 positions, 9.0 games/sec
info string datagen: 610/3000 games, 51252 positions, 9.0 games/sec
info string datagen: 620/3000 games, 52179 positions, 9.0 games/sec
info string datagen: 630/3000 games, 53060 positions, 9.0 games/sec
info string datagen: 640/3000 games, 54154 positions, 9.0 games/sec
info string datagen: 650/3000 games, 55239 positions, 8.9 games/sec
info string datagen: 660/3000 games, 55984 positions, 8.9 games/sec
info string datagen: 670/3000 games, 57082 positions, 8.9 games/sec
info string datagen: 680/3000 games, 57895 positions, 8.9 games/sec
info string datagen: 690/3000 games, 58923 positions, 9.0 games/sec
info string datagen: 700/3000 games, 59841 positions, 9.0 games/sec
info string datagen: 710/3000 games, 60501 positions, 9.0 games/sec
info string datagen: 720/3000 games, 61242 positions, 9.0 games/sec
info string datagen: 730/3000 games, 61835 positions, 9.0 games/sec
info string datagen: 740/3000 games, 62609 positions, 9.0 games/sec
info string datagen: 750/3000 games, 63352 positions, 9.0 games/sec
info string datagen: 760/3000 games, 64164 positions, 9.0 games/sec
info string datagen: 770/3000 games, 64960 positions, 9.1 games/sec
info string datagen: 780/3000 games, 65643 positions, 9.1 games/sec
info string datagen: 790/3000 games, 66337 positions, 9.1 games/sec
info string datagen: 800/3000 games, 67104 positions, 9.0 games/sec
